"gene"
"MAEL"
"TMEM26"
"OR51E2"
"IGF1"
"MKRN3"
"SLC14A1"
"PIFO"
"TRIM58"
"IQCA1"
"C3orf14"
"SOX14"
"ZNF876P"
"RNF212"
"GUCY1A3"
"TRIM61"
"GZMA"
"PRR16"
"PCDHB11"
"PCDHGA5"
"PCDHGA9"
"PCDHGB6"
"PCDHGA10"
"GPX3"
"EYA4"
"GLI3"
"COL26A1"
"CPA6"
"DCAF4L2"
"CPQ"
"TSPYL5"
"ANGPT1"
"MAMDC2"
"ZFP37"
"MMP26"
"ZNF215"
"KRT5"
"KL"
"ISLR"
"BNC1"
"NTRK3"
"NTN1"
"SLFN12"
"KRT17"
"KLHL14"
"PLIN5"
"FBXO27"
"CD37"
"ZNF578"
"NLRP7"
"ZNF135"
"SIRPA"
"ZNF334"
"PTK6"
"NCF4"
